"Step","coco_ltd_constraint_b03 - best_score","coco_ltd_constraint_b03 - best_score__MIN","coco_ltd_constraint_b03 - best_score__MAX","coco_ltd_constraint_b01 - best_score","coco_ltd_constraint_b01 - best_score__MIN","coco_ltd_constraint_b01 - best_score__MAX","coco_ltd_constraint - best_score","coco_ltd_constraint - best_score__MIN","coco_ltd_constraint - best_score__MAX","coco_ltd - best_score","coco_ltd - best_score__MIN","coco_ltd - best_score__MAX","coco_baseline - best_score","coco_baseline - best_score__MIN","coco_baseline - best_score__MAX"
"4426","187.128","187.128","187.128","191.052","191.052","191.052","189.82000000000002","189.82000000000002","189.82000000000002","161.136","161.136","161.136","160.256","160.256","160.256"
"8852","211.34799999999998","211.34799999999998","211.34799999999998","217.324","217.324","217.324","222.97999999999996","222.97999999999996","222.97999999999996","197.824","197.824","197.824","190.052","190.052","190.052"
"13278","225.124","225.124","225.124","227.98399999999998","227.98399999999998","227.98399999999998","236.56","236.56","236.56","212.416","212.416","212.416","210.608","210.608","210.608"
"17704","232.34","232.34","232.34","237.34799999999998","237.34799999999998","237.34799999999998","248.268","248.268","248.268","226.7","226.7","226.7","222.82","222.82","222.82"
"22130","243.12800000000001","243.12800000000001","243.12800000000001","240.524","240.524","240.524","252.46800000000002","252.46800000000002","252.46800000000002","237.828","237.828","237.828","230.10000000000002","230.10000000000002","230.10000000000002"
"26556","247.56","247.56","247.56","244.42399999999998","244.42399999999998","244.42399999999998","265.756","265.756","265.756","245.184","245.184","245.184","239.984","239.984","239.984"
"30982","251.084","251.084","251.084","247.98000000000002","247.98000000000002","247.98000000000002","265.756","265.756","265.756","250.80800000000002","250.80800000000002","250.80800000000002","247.27200000000002","247.27200000000002","247.27200000000002"
"35408","252.964","252.964","252.964","253.064","253.064","253.064","265.756","265.756","265.756","254.524","254.524","254.524","250.036","250.036","250.036"
"39834","258.24800000000005","258.24800000000005","258.24800000000005","253.98","253.98","253.98","269.584","269.584","269.584","258.11199999999997","258.11199999999997","258.11199999999997","252.35199999999998","252.35199999999998","252.35199999999998"
"44260","262.164","262.164","262.164","257.9","257.9","257.9","269.584","269.584","269.584","260.81600000000003","260.81600000000003","260.81600000000003","255.85200000000003","255.85200000000003","255.85200000000003"
"48686","268.72","268.72","268.72","258.812","258.812","258.812","280.26","280.26","280.26","263.34","263.34","263.34","262.26800000000003","262.26800000000003","262.26800000000003"
"53112","269.824","269.824","269.824","259.172","259.172","259.172","280.26","280.26","280.26","268.13599999999997","268.13599999999997","268.13599999999997","265.02","265.02","265.02"
"57538","270.568","270.568","270.568","262.204","262.204","262.204","281.092","281.092","281.092","273.444","273.444","273.444","267.38800000000003","267.38800000000003","267.38800000000003"
"61964","275.56","275.56","275.56","263.424","263.424","263.424","282.844","282.844","282.844","273.81600000000003","273.81600000000003","273.81600000000003","270.372","270.372","270.372"
"66390","279.732","279.732","279.732","265.848","265.848","265.848","288.66400000000004","288.66400000000004","288.66400000000004","273.81600000000003","273.81600000000003","273.81600000000003","274.184","274.184","274.184"
"70816","279.732","279.732","279.732","265.848","265.848","265.848","288.66400000000004","288.66400000000004","288.66400000000004","278.704","278.704","278.704","276.376","276.376","276.376"
"75242","279.732","279.732","279.732","267.204","267.204","267.204","288.916","288.916","288.916","282.076","282.076","282.076","279","279","279"
"79668","282.184","282.184","282.184","269.924","269.924","269.924","292.012","292.012","292.012","283.75199999999995","283.75199999999995","283.75199999999995","280.56","280.56","280.56"
"84094","284.64799999999997","284.64799999999997","284.64799999999997","269.924","269.924","269.924","293.988","293.988","293.988","283.75199999999995","283.75199999999995","283.75199999999995","281.224","281.224","281.224"
"88520","284.64799999999997","284.64799999999997","284.64799999999997","269.924","269.924","269.924","293.988","293.988","293.988","283.75199999999995","283.75199999999995","283.75199999999995","282.12","282.12","282.12"
"92946","285.096","285.096","285.096","270.584","270.584","270.584","294.164","294.164","294.164","286.776","286.776","286.776","282.74","282.74","282.74"
"97372","286.616","286.616","286.616","272.08000000000004","272.08000000000004","272.08000000000004","294.624","294.624","294.624","287.14000000000004","287.14000000000004","287.14000000000004","284.53999999999996","284.53999999999996","284.53999999999996"
"101798","286.812","286.812","286.812","272.932","272.932","272.932","296.45599999999996","296.45599999999996","296.45599999999996","288.70000000000005","288.70000000000005","288.70000000000005","284.53999999999996","284.53999999999996","284.53999999999996"
"106224","288.82399999999996","288.82399999999996","288.82399999999996","274.636","274.636","274.636","296.45599999999996","296.45599999999996","296.45599999999996","289.524","289.524","289.524","286.86400000000003","286.86400000000003","286.86400000000003"
"110650","289.81600000000003","289.81600000000003","289.81600000000003","274.636","274.636","274.636","296.91200000000003","296.91200000000003","296.91200000000003","290.436","290.436","290.436","287.396","287.396","287.396"
"115076","290.416","290.416","290.416","274.81600000000003","274.81600000000003","274.81600000000003","297.476","297.476","297.476","290.928","290.928","290.928","288.5","288.5","288.5"
"119502","290.98","290.98","290.98","274.81600000000003","274.81600000000003","274.81600000000003","297.90799999999996","297.90799999999996","297.90799999999996","291.55999999999995","291.55999999999995","291.55999999999995","288.5","288.5","288.5"
"123928","290.98","290.98","290.98","275.27599999999995","275.27599999999995","275.27599999999995","297.90799999999996","297.90799999999996","297.90799999999996","291.712","291.712","291.712","288.744","288.744","288.744"
"128354","290.98","290.98","290.98","275.46799999999996","275.46799999999996","275.46799999999996","298.064","298.064","298.064","291.824","291.824","291.824","288.812","288.812","288.812"
"132780","290.98","290.98","290.98","275.46799999999996","275.46799999999996","275.46799999999996","298.604","298.604","298.604","292.096","292.096","292.096","288.84799999999996","288.84799999999996","288.84799999999996"
"137206","300.46799999999996","300.46799999999996","300.46799999999996","288.79999999999995","288.79999999999995","288.79999999999995","308.276","308.276","308.276","302.084","302.084","302.084","298.872","298.872","298.872"
"141632","305.568","305.568","305.568","293.512","293.512","293.512","311.424","311.424","311.424","305.752","305.752","305.752","303.024","303.024","303.024"
"146058","309.08","309.08","309.08","297.056","297.056","297.056","313.84799999999996","313.84799999999996","313.84799999999996","308.824","308.824","308.824","305.724","305.724","305.724"
"150484","310.64","310.64","310.64","300.824","300.824","300.824","317.01200000000006","317.01200000000006","317.01200000000006","310.068","310.068","310.068","307.616","307.616","307.616"
"154910","311.224","311.224","311.224","303.26","303.26","303.26","318.748","318.748","318.748","311.712","311.712","311.712","308.172","308.172","308.172"
"159336","313.764","313.764","313.764","303.76800000000003","303.76800000000003","303.76800000000003","320.7","320.7","320.7","312.876","312.876","312.876","311.904","311.904","311.904"
"163762","314.96799999999996","314.96799999999996","314.96799999999996","306.02799999999996","306.02799999999996","306.02799999999996","321.872","321.872","321.872","313.452","313.452","313.452","313.688","313.688","313.688"
"168188","316.216","316.216","316.216","306.904","306.904","306.904","323.87600000000003","323.87600000000003","323.87600000000003","315.304","315.304","315.304","313.688","313.688","313.688"
"172614","316.668","316.668","316.668","308.168","308.168","308.168","325.016","325.016","325.016","317.11199999999997","317.11199999999997","317.11199999999997","314.78799999999995","314.78799999999995","314.78799999999995"
"177040","317.91599999999994","317.91599999999994","317.91599999999994","309.048","309.048","309.048","325.016","325.016","325.016","317.784","317.784","317.784","315.408","315.408","315.408"
"181466","318.23199999999997","318.23199999999997","318.23199999999997","311.528","311.528","311.528","326.004","326.004","326.004","319.66","319.66","319.66","316.38","316.38","316.38"
"185892","320.74","320.74","320.74","312.32000000000005","312.32000000000005","312.32000000000005","327.644","327.644","327.644","320.024","320.024","320.024","317.28000000000003","317.28000000000003","317.28000000000003"
"190318","320.74","320.74","320.74","312.428","312.428","312.428","327.644","327.644","327.644","320.28","320.28","320.28","318.65200000000004","318.65200000000004","318.65200000000004"
"194744","321.84400000000005","321.84400000000005","321.84400000000005","314.148","314.148","314.148","327.884","327.884","327.884","321.14799999999997","321.14799999999997","321.14799999999997","319.02","319.02","319.02"
"199170","321.84400000000005","321.84400000000005","321.84400000000005","314.488","314.488","314.488","328.476","328.476","328.476","321.836","321.836","321.836","319.65199999999993","319.65199999999993","319.65199999999993"
"203596","322.452","322.452","322.452","315.296","315.296","315.296","328.664","328.664","328.664","321.836","321.836","321.836","319.65199999999993","319.65199999999993","319.65199999999993"
"208022","322.856","322.856","322.856","316.188","316.188","316.188","328.664","328.664","328.664","322.268","322.268","322.268","319.716","319.716","319.716"
"212448","322.856","322.856","322.856","316.23199999999997","316.23199999999997","316.23199999999997","328.664","328.664","328.664","322.92","322.92","322.92","319.96","319.96","319.96"
"216874","323.84","323.84","323.84","317.308","317.308","317.308","329.33599999999996","329.33599999999996","329.33599999999996","323.724","323.724","323.724","321.084","321.084","321.084"
"221300","323.84","323.84","323.84","317.44","317.44","317.44","330.13199999999995","330.13199999999995","330.13199999999995","323.772","323.772","323.772","321.14799999999997","321.14799999999997","321.14799999999997"
"225726","324.56399999999996","324.56399999999996","324.56399999999996","318.98","318.98","318.98","330.13199999999995","330.13199999999995","330.13199999999995","323.772","323.772","323.772","322.05600000000004","322.05600000000004","322.05600000000004"
"230152","324.97200000000004","324.97200000000004","324.97200000000004","318.98","318.98","318.98","330.63200000000006","330.63200000000006","330.63200000000006","323.964","323.964","323.964","322.05600000000004","322.05600000000004","322.05600000000004"
"234578","324.97200000000004","324.97200000000004","324.97200000000004","318.98","318.98","318.98","330.63200000000006","330.63200000000006","330.63200000000006","324.22399999999993","324.22399999999993","324.22399999999993","322.7","322.7","322.7"
"239004","325.212","325.212","325.212","318.98","318.98","318.98","330.672","330.672","330.672","324.28","324.28","324.28","322.7","322.7","322.7"
"243430","325.212","325.212","325.212","318.98","318.98","318.98","331.044","331.044","331.044","325.12","325.12","325.12","322.7","322.7","322.7"
"247856","325.212","325.212","325.212","318.98400000000004","318.98400000000004","318.98400000000004","331.26800000000003","331.26800000000003","331.26800000000003","325.12","325.12","325.12","322.7","322.7","322.7"
"252282","325.35600000000005","325.35600000000005","325.35600000000005","319.116","319.116","319.116","331.26800000000003","331.26800000000003","331.26800000000003","325.216","325.216","325.216","322.7","322.7","322.7"
"256708","325.35600000000005","325.35600000000005","325.35600000000005","319.116","319.116","319.116","331.26800000000003","331.26800000000003","331.26800000000003","325.216","325.216","325.216","323.144","323.144","323.144"
"261134","325.35600000000005","325.35600000000005","325.35600000000005","319.61199999999997","319.61199999999997","319.61199999999997","331.76399999999995","331.76399999999995","331.76399999999995","325.216","325.216","325.216","323.144","323.144","323.144"
"265560","325.35600000000005","325.35600000000005","325.35600000000005","319.61199999999997","319.61199999999997","319.61199999999997","331.76399999999995","331.76399999999995","331.76399999999995","325.216","325.216","325.216","323.144","323.144","323.144"