"Step","swa_coco_ltd_constraint_b005 - best_score","swa_coco_ltd_constraint_b005 - best_score__MIN","swa_coco_ltd_constraint_b005 - best_score__MAX","swa_coco_ltd_constraint_b01 - best_score","swa_coco_ltd_constraint_b01 - best_score__MIN","swa_coco_ltd_constraint_b01 - best_score__MAX","swa_coco_ltd_constraint_b03 - best_score","swa_coco_ltd_constraint_b03 - best_score__MIN","swa_coco_ltd_constraint_b03 - best_score__MAX","swa_coco_ltd_constraint - best_score","swa_coco_ltd_constraint - best_score__MIN","swa_coco_ltd_constraint - best_score__MAX","swa_coco_baseline - best_score","swa_coco_baseline - best_score__MIN","swa_coco_baseline - best_score__MAX","swa_coco_ltd - best_score","swa_coco_ltd - best_score__MIN","swa_coco_ltd - best_score__MAX"
"4426","193.11599999999999","193.11599999999999","193.11599999999999","195.66","195.66","195.66","195.38","195.38","195.38","192.688","192.688","192.688","175.192","175.192","175.192","174.216","174.216","174.216"
"8852","216.87199999999999","216.87199999999999","216.87199999999999","221.276","221.276","221.276","218.908","218.908","218.908","221.916","221.916","221.916","203.284","203.284","203.284","202.26800000000003","202.26800000000003","202.26800000000003"
"13278","227.468","227.468","227.468","232.512","232.512","232.512","230.288","230.288","230.288","239.172","239.172","239.172","220.40399999999997","220.40399999999997","220.40399999999997","218.996","218.996","218.996"
"17704","235.88","235.88","235.88","239.34400000000002","239.34400000000002","239.34400000000002","240.928","240.928","240.928","250.94","250.94","250.94","231.50800000000004","231.50800000000004","231.50800000000004","233.548","233.548","233.548"
"22130","239.824","239.824","239.824","244.04","244.04","244.04","248.164","248.164","248.164","259.308","259.308","259.308","240.17199999999997","240.17199999999997","240.17199999999997","241.62400000000002","241.62400000000002","241.62400000000002"
"26556","245.03599999999997","245.03599999999997","245.03599999999997","248.212","248.212","248.212","251.952","251.952","251.952","264.052","264.052","264.052","246.40800000000002","246.40800000000002","246.40800000000002","247.628","247.628","247.628"
"30982","249.168","249.168","249.168","251.62","251.62","251.62","257.42400000000004","257.42400000000004","257.42400000000004","269.11600000000004","269.11600000000004","269.11600000000004","253.56399999999996","253.56399999999996","253.56399999999996","253.512","253.512","253.512"
"35408","253.208","253.208","253.208","255.652","255.652","255.652","262.196","262.196","262.196","272.176","272.176","272.176","259.32","259.32","259.32","259.23199999999997","259.23199999999997","259.23199999999997"
"39834","254.23199999999997","254.23199999999997","254.23199999999997","258.108","258.108","258.108","264.24399999999997","264.24399999999997","264.24399999999997","274.904","274.904","274.904","261.60400000000004","261.60400000000004","261.60400000000004","262.756","262.756","262.756"
"44260","256.47200000000004","256.47200000000004","256.47200000000004","259.948","259.948","259.948","267.012","267.012","267.012","278.912","278.912","278.912","264.948","264.948","264.948","267.4","267.4","267.4"
"48686","257.53999999999996","257.53999999999996","257.53999999999996","261.576","261.576","261.576","270.62","270.62","270.62","279.57599999999996","279.57599999999996","279.57599999999996","268.652","268.652","268.652","270.412","270.412","270.412"
"53112","260.59599999999995","260.59599999999995","260.59599999999995","261.576","261.576","261.576","271.668","271.668","271.668","280.784","280.784","280.784","269.844","269.844","269.844","272.26000000000005","272.26000000000005","272.26000000000005"
"57538","262.464","262.464","262.464","264.764","264.764","264.764","273.39599999999996","273.39599999999996","273.39599999999996","284.236","284.236","284.236","271.412","271.412","271.412","275.26800000000003","275.26800000000003","275.26800000000003"
"61964","264.716","264.716","264.716","266.712","266.712","266.712","275.76","275.76","275.76","285.268","285.268","285.268","274.968","274.968","274.968","276.692","276.692","276.692"
"66390","264.804","264.804","264.804","267.596","267.596","267.596","277.82800000000003","277.82800000000003","277.82800000000003","286.88","286.88","286.88","278.012","278.012","278.012","277.916","277.916","277.916"
"70816","265.192","265.192","265.192","267.596","267.596","267.596","278.872","278.872","278.872","287.496","287.496","287.496","278.048","278.048","278.048","280.656","280.656","280.656"
"75242","266.108","266.108","266.108","270.39599999999996","270.39599999999996","270.39599999999996","281.53200000000004","281.53200000000004","281.53200000000004","288.884","288.884","288.884","278.772","278.772","278.772","281.792","281.792","281.792"
"79668","267.048","267.048","267.048","270.468","270.468","270.468","281.53200000000004","281.53200000000004","281.53200000000004","292.39199999999994","292.39199999999994","292.39199999999994","280.732","280.732","280.732","283.016","283.016","283.016"
"84094","268.01599999999996","268.01599999999996","268.01599999999996","271.468","271.468","271.468","283.808","283.808","283.808","292.528","292.528","292.528","280.864","280.864","280.864","284.424","284.424","284.424"
"88520","269.372","269.372","269.372","272.852","272.852","272.852","284.84000000000003","284.84000000000003","284.84000000000003","293.86","293.86","293.86","283.168","283.168","283.168","285.908","285.908","285.908"
"92946","269.372","269.372","269.372","273.72","273.72","273.72","284.88","284.88","284.88","293.86","293.86","293.86","283.952","283.952","283.952","286.116","286.116","286.116"
"97372","269.372","269.372","269.372","273.948","273.948","273.948","286.196","286.196","286.196","293.86","293.86","293.86","285.048","285.048","285.048","287.13599999999997","287.13599999999997","287.13599999999997"
"101798","270.08000000000004","270.08000000000004","270.08000000000004","274.85999999999996","274.85999999999996","274.85999999999996","286.196","286.196","286.196","294.58","294.58","294.58","285.048","285.048","285.048","288.352","288.352","288.352"
"106224","270.08000000000004","270.08000000000004","270.08000000000004","275.00399999999996","275.00399999999996","275.00399999999996","287.792","287.792","287.792","295.836","295.836","295.836","285.808","285.808","285.808","288.352","288.352","288.352"
"110650","271.404","271.404","271.404","275.352","275.352","275.352","288.292","288.292","288.292","295.836","295.836","295.836","285.808","285.808","285.808","288.916","288.916","288.916"
"115076","271.404","271.404","271.404","276.38800000000003","276.38800000000003","276.38800000000003","289.012","289.012","289.012","296.4","296.4","296.4","287.39599999999996","287.39599999999996","287.39599999999996","288.916","288.916","288.916"
"119502","271.404","271.404","271.404","276.38800000000003","276.38800000000003","276.38800000000003","289.896","289.896","289.896","296.512","296.512","296.512","287.39599999999996","287.39599999999996","287.39599999999996","288.99199999999996","288.99199999999996","288.99199999999996"
"123928","271.404","271.404","271.404","276.45599999999996","276.45599999999996","276.45599999999996","289.896","289.896","289.896","296.512","296.512","296.512","287.39599999999996","287.39599999999996","287.39599999999996","289.364","289.364","289.364"
"128354","272.024","272.024","272.024","276.45599999999996","276.45599999999996","276.45599999999996","290.368","290.368","290.368","296.512","296.512","296.512","288.496","288.496","288.496","289.94","289.94","289.94"
"132780","272.024","272.024","272.024","277.104","277.104","277.104","290.368","290.368","290.368","296.512","296.512","296.512","288.496","288.496","288.496","289.94","289.94","289.94"
"137206","285.928","285.928","285.928","289.30000000000007","289.30000000000007","289.30000000000007","299.67199999999997","299.67199999999997","299.67199999999997","305.528","305.528","305.528","297.46","297.46","297.46","300.292","300.292","300.292"
"141632","289.788","289.788","289.788","294.796","294.796","294.796","304.44800000000004","304.44800000000004","304.44800000000004","311.044","311.044","311.044","302.77599999999995","302.77599999999995","302.77599999999995","304.396","304.396","304.396"
"146058","293.632","293.632","293.632","298.63599999999997","298.63599999999997","298.63599999999997","306.96799999999996","306.96799999999996","306.96799999999996","312.89599999999996","312.89599999999996","312.89599999999996","305.424","305.424","305.424","307.408","307.408","307.408"
"150484","295.48","295.48","295.48","300.548","300.548","300.548","308.776","308.776","308.776","317.01599999999996","317.01599999999996","317.01599999999996","307.084","307.084","307.084","308.664","308.664","308.664"
"154910","297.67600000000004","297.67600000000004","297.67600000000004","304.24","304.24","304.24","309.692","309.692","309.692","318.616","318.616","318.616","309.592","309.592","309.592","311.8","311.8","311.8"
"159336","301.55600000000004","301.55600000000004","301.55600000000004","304.48400000000004","304.48400000000004","304.48400000000004","311.9","311.9","311.9","320.084","320.084","320.084","311.45200000000006","311.45200000000006","311.45200000000006","312.02","312.02","312.02"
"163762","302.98400000000004","302.98400000000004","302.98400000000004","306.116","306.116","306.116","311.9","311.9","311.9","320.084","320.084","320.084","312.988","312.988","312.988","313.156","313.156","313.156"
"168188","302.98400000000004","302.98400000000004","302.98400000000004","309.264","309.264","309.264","314.044","314.044","314.044","323.572","323.572","323.572","312.988","312.988","312.988","315.176","315.176","315.176"
"172614","302.98400000000004","302.98400000000004","302.98400000000004","310.536","310.536","310.536","314.044","314.044","314.044","324.64","324.64","324.64","314.892","314.892","314.892","316.868","316.868","316.868"
"177040","305.348","305.348","305.348","312.188","312.188","312.188","316.46","316.46","316.46","325.34000000000003","325.34000000000003","325.34000000000003","314.892","314.892","314.892","317.77599999999995","317.77599999999995","317.77599999999995"
"181466","305.852","305.852","305.852","312.188","312.188","312.188","316.96","316.96","316.96","326.596","326.596","326.596","316.308","316.308","316.308","319.112","319.112","319.112"
"185892","308.116","308.116","308.116","313.012","313.012","313.012","317.404","317.404","317.404","326.65999999999997","326.65999999999997","326.65999999999997","316.812","316.812","316.812","319.584","319.584","319.584"
"190318","308.116","308.116","308.116","313.63199999999995","313.63199999999995","313.63199999999995","318.116","318.116","318.116","328.688","328.688","328.688","317.30400000000003","317.30400000000003","317.30400000000003","320","320","320"
"194744","308.82800000000003","308.82800000000003","308.82800000000003","313.63199999999995","313.63199999999995","313.63199999999995","318.788","318.788","318.788","328.688","328.688","328.688","318.188","318.188","318.188","320.65999999999997","320.65999999999997","320.65999999999997"
"199170","310.856","310.856","310.856","314.972","314.972","314.972","319.76","319.76","319.76","328.688","328.688","328.688","318.54","318.54","318.54","320.70799999999997","320.70799999999997","320.70799999999997"
"203596","310.856","310.856","310.856","315.636","315.636","315.636","320.3","320.3","320.3","329.05600000000004","329.05600000000004","329.05600000000004","318.91999999999996","318.91999999999996","318.91999999999996","321.72400000000005","321.72400000000005","321.72400000000005"
"208022","310.856","310.856","310.856","315.636","315.636","315.636","320.3","320.3","320.3","329.47200000000004","329.47200000000004","329.47200000000004","319.44","319.44","319.44","322.444","322.444","322.444"
"212448","310.856","310.856","310.856","316.93600000000004","316.93600000000004","316.93600000000004","320.884","320.884","320.884","329.82800000000003","329.82800000000003","329.82800000000003","319.744","319.744","319.744","323.092","323.092","323.092"
"216874","311.472","311.472","311.472","317.24399999999997","317.24399999999997","317.24399999999997","321.188","321.188","321.188","330.82000000000005","330.82000000000005","330.82000000000005","321.24","321.24","321.24","323.092","323.092","323.092"
"221300","313.2","313.2","313.2","317.496","317.496","317.496","321.91999999999996","321.91999999999996","321.91999999999996","330.82000000000005","330.82000000000005","330.82000000000005","321.296","321.296","321.296","323.576","323.576","323.576"
"225726","313.2","313.2","313.2","319.224","319.224","319.224","321.976","321.976","321.976","331.176","331.176","331.176","321.296","321.296","321.296","323.576","323.576","323.576"
"230152","313.36799999999994","313.36799999999994","313.36799999999994","319.224","319.224","319.224","321.976","321.976","321.976","331.176","331.176","331.176","321.296","321.296","321.296","323.576","323.576","323.576"
"234578","313.36799999999994","313.36799999999994","313.36799999999994","319.224","319.224","319.224","321.976","321.976","321.976","331.448","331.448","331.448","321.296","321.296","321.296","323.82","323.82","323.82"
"239004","313.36799999999994","313.36799999999994","313.36799999999994","319.224","319.224","319.224","322.668","322.668","322.668","331.448","331.448","331.448","321.56800000000004","321.56800000000004","321.56800000000004","323.98799999999994","323.98799999999994","323.98799999999994"
"243430","313.36799999999994","313.36799999999994","313.36799999999994","319.224","319.224","319.224","322.668","322.668","322.668","331.952","331.952","331.952","321.648","321.648","321.648","323.98799999999994","323.98799999999994","323.98799999999994"
"247856","313.69599999999997","313.69599999999997","313.69599999999997","319.224","319.224","319.224","322.668","322.668","322.668","331.952","331.952","331.952","322.13599999999997","322.13599999999997","322.13599999999997","323.98799999999994","323.98799999999994","323.98799999999994"
"252282","313.69599999999997","313.69599999999997","313.69599999999997","319.78000000000003","319.78000000000003","319.78000000000003","323.636","323.636","323.636","331.952","331.952","331.952","322.13599999999997","322.13599999999997","322.13599999999997","324.352","324.352","324.352"
"256708","313.69599999999997","313.69599999999997","313.69599999999997","319.9","319.9","319.9","323.636","323.636","323.636","331.952","331.952","331.952","322.13599999999997","322.13599999999997","322.13599999999997","324.352","324.352","324.352"
"261134","314.06","314.06","314.06","319.9","319.9","319.9","323.636","323.636","323.636","332.04400000000004","332.04400000000004","332.04400000000004","322.13599999999997","322.13599999999997","322.13599999999997","324.352","324.352","324.352"
"265560","314.06","314.06","314.06","319.9","319.9","319.9","323.636","323.636","323.636","332.04400000000004","332.04400000000004","332.04400000000004","322.13599999999997","322.13599999999997","322.13599999999997","324.352","324.352","324.352"